date,INDPRO,200dma,indpro_signal
1991-12-09,62.0999,61.79341250000016,1.0
1991-12-10,62.0999,61.80098550000015,1.0
1991-12-11,62.0999,61.808558500000146,1.0
1991-12-12,62.0999,61.81613150000014,1.0
1991-12-13,62.0999,61.82370450000013,1.0
1991-12-16,62.0999,61.83127750000013,1.0
1991-12-17,62.0999,61.83885050000012,1.0
1991-12-18,62.0999,61.84642350000011,1.0
1991-12-19,62.0999,61.8539965000001,1.0
1991-12-20,62.0999,61.861569500000094,1.0
1991-12-23,62.0999,61.86914250000009,1.0
1991-12-24,62.0999,61.87671550000008,1.0
1991-12-25,62.0999,61.884288500000075,1.0
1991-12-26,62.0999,61.89186150000007,1.0
1991-12-27,62.0999,61.89943450000006,1.0
1991-12-30,62.0999,61.907007500000056,1.0
1991-12-31,62.0999,61.91458050000005,1.0
1992-01-01,61.7744,61.920526000000045,0.0
1992-01-02,61.7744,61.92647150000004,0.0
1992-01-03,61.7744,61.932417000000044,0.0
1992-01-06,61.7744,61.93748700000005,0.0
1992-01-07,61.7744,61.94255700000005,0.0
1992-01-08,61.7744,61.947627000000054,0.0
1992-01-09,61.7744,61.952697000000065,0.0
1992-01-10,61.7744,61.95776700000007,0.0
1992-01-13,61.7744,61.96283700000007,0.0
1992-01-14,61.7744,61.967907000000075,0.0
1992-01-15,61.7744,61.972977000000085,0.0
1992-01-16,61.7744,61.97804700000009,0.0
1992-01-17,61.7744,61.98311700000009,0.0
1992-01-20,61.7744,61.988187000000096,0.0
1992-01-21,61.7744,61.993257000000106,0.0
1992-01-22,61.7744,61.99832700000011,0.0
1992-01-23,61.7744,62.00339700000011,0.0
1992-01-24,61.7744,62.00846700000012,0.0
1992-01-27,61.7744,62.01353700000013,0.0
1992-01-28,61.7744,62.01860700000013,0.0
1992-01-29,61.7744,62.023677000000134,0.0
1992-01-30,61.7744,62.02874700000014,0.0
1992-01-31,61.7744,62.03381700000014,0.0
1992-02-03,62.2167,62.04109850000015,1.0
1992-02-04,62.2167,62.04838000000016,1.0
1992-02-05,62.2167,62.052677500000165,1.0
1992-02-06,62.2167,62.056975000000165,1.0
1992-02-07,62.2167,62.06127250000017,1.0
1992-02-10,62.2167,62.06557000000017,1.0
1992-02-11,62.2167,62.06986750000017,1.0
1992-02-12,62.2167,62.07416500000018,1.0
1992-02-13,62.2167,62.07846250000018,1.0
1992-02-14,62.2167,62.08276000000018,1.0
1992-02-17,62.2167,62.087057500000185,1.0
1992-02-18,62.2167,62.091355000000185,1.0
1992-02-19,62.2167,62.095652500000185,1.0
1992-02-20,62.2167,62.09995000000019,1.0
1992-02-21,62.2167,62.10424750000019,1.0
1992-02-24,62.2167,62.10854500000019,1.0
1992-02-25,62.2167,62.1128425000002,1.0
1992-02-26,62.2167,62.1171400000002,1.0
1992-02-27,62.2167,62.121437500000205,1.0
1992-02-28,62.2167,62.125735000000205,1.0
1992-03-02,62.7223,62.1325605000002,1.0
1992-03-03,62.7223,62.139386000000194,1.0
1992-03-04,62.7223,62.14621150000019,1.0
1992-03-05,62.7223,62.15303700000018,1.0
1992-03-06,62.7223,62.15986250000018,1.0
