date,21dma,200dma,hy_signal,hy_signal_cross,hy_signal_slope,slope,BAMLH0A0HYM2
2008-07-16,7.43047619047619,6.5813,0.0,0.0,0.0,0.07718181818181817,8.01
2008-07-17,7.49047619047619,6.600499999999999,0.0,0.0,0.0,0.06898701298701299,7.79
2008-07-18,7.544761904761905,6.619300000000001,0.0,0.0,0.0,0.057597402597402605,7.67
2008-07-21,7.586666666666666,6.637899999999999,0.0,0.0,0.0,0.04598701298701301,7.58
2008-07-22,7.626666666666667,6.656750000000001,0.0,0.0,0.0,0.03435064935064936,7.6
2008-07-23,7.648095238095237,6.675,0.0,0.0,0.0,0.023376623376623377,7.46
2008-07-24,7.677619047619048,6.69365,0.0,0.0,0.0,0.014298701298701292,7.64
2008-07-25,7.693333333333333,6.7113,0.0,0.0,0.0,0.007467532467532451,7.6
2008-07-28,7.711428571428572,6.72925,0.0,0.0,0.0,0.004675324675324664,7.79
2008-07-29,7.733809523809524,6.74655,0.0,0.0,0.0,0.0009220779220779092,7.82
2008-07-30,7.749523809523809,6.76365,1.0,0.0,1.0,-0.0017142857142857263,7.81
2008-07-31,7.771904761904761,6.781949999999999,1.0,0.0,1.0,-0.001597402597402605,8.0
2008-08-01,7.7957142857142845,6.8005,0.0,0.0,0.0,0.0010259740259740283,8.13
2008-08-04,7.82,6.8191999999999995,0.0,0.0,0.0,0.0031298701298701384,8.14
2008-08-05,7.836666666666666,6.8378000000000005,0.0,0.0,0.0,0.0060389610389610365,8.11
2008-08-06,7.845238095238095,6.85615,0.0,0.0,0.0,0.009285714285714293,8.05
2008-08-07,7.861428571428571,6.87505,0.0,0.0,0.0,0.013012987012987027,8.16
2008-08-08,7.872857142857144,6.89395,0.0,0.0,0.0,0.017181818181818204,8.14
2008-08-11,7.881904761904762,6.91165,0.0,0.0,0.0,0.019844155844155872,8.07
2008-08-12,7.892380952380951,6.9289499999999995,0.0,0.0,0.0,0.02292207792207793,8.11
