None,date,close,21d_vol,200d_vol,market_vol_cross,21d,200d,market_cross
4792,2005-01-05,1183.74,0.005993634813200258,0.006858429960432318,1.0,1199.6838095238095,1130.2506,1.0
4791,2005-01-06,1187.89,0.0054962560676273,0.006860860360702193,1.0,1200.1990476190476,1130.7203,1.0
4790,2005-01-07,1186.19,0.005413695570013094,0.0068592125508372265,1.0,1200.3600000000001,1131.1946,1.0
4789,2005-01-10,1190.25,0.005332907237387946,0.006769997340970544,1.0,1200.4080952380953,1131.5999000000002,1.0
4788,2005-01-11,1182.99,0.005496937084570782,0.006784774669858806,1.0,1200.169523809524,1131.97455,1.0
4787,2005-01-12,1187.7,0.005180905398873463,0.006730600109265164,1.0,1199.6466666666668,1132.3007,1.0
4786,2005-01-13,1177.45,0.005376269446604914,0.0067549219415509835,1.0,1198.4119047619047,1132.55295,1.0
4785,2005-01-14,1184.52,0.005557702290601652,0.006766886493479307,1.0,1197.402380952381,1132.8445000000002,1.0
4784,2005-01-18,1195.98,0.005997406504598455,0.006790073598918234,1.0,1197.0580952380951,1133.16355,1.0
4783,2005-01-19,1184.63,0.006133726037122905,0.006800165430771099,1.0,1196.602380952381,1133.37765,1.0
4782,2005-01-20,1175.41,0.0063399128325162596,0.006802801013835048,1.0,1195.6861904761904,1133.5018499999999,1.0
4781,2005-01-21,1167.87,0.006037789878174192,0.006816766637292848,1.0,1193.8966666666668,1133.6004,1.0
4780,2005-01-24,1163.75,0.005944312314274618,0.006804758623899294,1.0,1191.714761904762,1133.7165,1.0
4779,2005-01-25,1168.41,0.006061575867379023,0.006809813958963482,1.0,1189.7280952380952,1133.86195,1.0
4778,2005-01-26,1174.07,0.006189387500172823,0.0068086823145724435,1.0,1188.2590476190478,1134.0063,1.0
4777,2005-01-27,1174.55,0.005902423845459084,0.006735805484608975,1.0,1186.402380952381,1134.23185,1.0
4776,2005-01-28,1171.36,0.005897465423373253,0.006738320010949025,1.0,1184.3980952380953,1134.4478000000001,1.0
4775,2005-01-31,1181.27,0.006290086250053054,0.006763395504720246,1.0,1182.8609523809525,1134.70995,1.0
4774,2005-02-01,1189.41,0.006536547345753902,0.006770949927702142,1.0,1181.7890476190478,1134.98395,1.0
4773,2005-02-02,1193.19,0.006372787637502727,0.006773886676553166,1.0,1181.3657142857144,1135.2708,1.0
4772,2005-02-03,1189.89,0.005850636740589961,0.0066822561938274395,1.0,1181.4533333333334,1135.6295,1.0
4771,2005-02-04,1203.03,0.006243706383110205,0.006715580166530906,1.0,1182.3719047619047,1136.0242,1.0
4770,2005-02-07,1201.72,0.006223658679637269,0.006645807743487834,1.0,1183.030476190476,1136.33315,1.0
4769,2005-02-08,1202.3,0.006207153433835141,0.00664578618552703,1.0,1183.797619047619,1136.64165,1.0
4768,2005-02-09,1191.99,0.00648704146665744,0.00666708548185258,1.0,1183.8804761904762,1136.92395,1.0
4767,2005-02-10,1197.01,0.006384962490825185,0.006671438518975468,1.0,1184.5480952380951,1137.21845,1.0
4766,2005-02-11,1205.3,0.006494250415863382,0.006611675244315775,1.0,1185.3861904761904,1137.6328999999998,1.0
4765,2005-02-14,1206.14,0.0061301295190095435,0.006587367565004996,1.0,1186.7523809523811,1138.0941500000001,1.0
