date,STLFSI4,5dma,fs_signal
1995-10-10,-0.0683,-0.29139047619047626,1.0
1995-10-11,-0.0683,-0.28304285714285715,1.0
1995-10-12,-0.0683,-0.2746952380952381,1.0
1995-10-13,-0.2262,-0.2738666666666667,1.0
1995-10-16,-0.2262,-0.26854285714285714,1.0
1995-10-17,-0.2262,-0.26321904761904763,1.0
1995-10-18,-0.2262,-0.25789523809523807,1.0
1995-10-19,-0.2262,-0.25257142857142856,1.0
1995-10-20,-0.1976,-0.24588571428571426,1.0
1995-10-23,-0.1976,-0.24152857142857145,1.0
1995-10-24,-0.1976,-0.23717142857142856,1.0
1995-10-25,-0.1976,-0.23281428571428572,1.0
1995-10-26,-0.1976,-0.22845714285714286,1.0
1995-10-27,-0.1451,-0.2216,1.0
1995-10-30,-0.1451,-0.20900476190476192,1.0
1995-10-31,-0.1451,-0.1964095238095238,1.0
1995-11-01,-0.1451,-0.1838142857142857,1.0
1995-11-02,-0.1451,-0.17121904761904763,1.0
1995-11-03,-0.2021,-0.16133809523809525,1.0
1995-11-06,-0.2021,-0.16770952380952384,1.0
1995-11-07,-0.2021,-0.1740809523809524,1.0
1995-11-08,-0.2021,-0.18045238095238098,1.0
1995-11-09,-0.2021,-0.1868238095238095,1.0
1995-11-10,-0.3259,-0.1990904761904762,1.0
1995-11-13,-0.3259,-0.20383809523809526,1.0
1995-11-14,-0.3259,-0.2085857142857143,1.0
1995-11-15,-0.3259,-0.21333333333333335,1.0
1995-11-16,-0.3259,-0.21808095238095238,1.0
1995-11-17,-0.3296,-0.22300476190476193,1.0
1995-11-20,-0.3296,-0.2292904761904762,1.0
1995-11-21,-0.3296,-0.23557619047619052,1.0
1995-11-22,-0.3296,-0.24186190476190478,1.0
1995-11-23,-0.3296,-0.24814761904761906,1.0
1995-11-24,-0.4618,-0.2607285714285714,1.0
1995-11-27,-0.4618,-0.2758095238095238,1.0
1995-11-28,-0.4618,-0.2908904761904762,1.0
1995-11-29,-0.4618,-0.30597142857142856,1.0
1995-11-30,-0.4618,-0.3210523809523809,1.0
1995-12-01,-0.3089,-0.32885238095238095,1.0
1995-12-04,-0.3089,-0.3339380952380952,1.0
1995-12-05,-0.3089,-0.33902380952380956,1.0
1995-12-06,-0.3089,-0.3441095238095238,1.0
1995-12-07,-0.3089,-0.3491952380952381,1.0
1995-12-08,-0.384,-0.3578571428571429,1.0
1995-12-11,-0.384,-0.3606238095238095,1.0
1995-12-12,-0.384,-0.36339047619047615,1.0
1995-12-13,-0.384,-0.36615714285714285,1.0
1995-12-14,-0.384,-0.36892380952380954,1.0
1995-12-15,-0.4113,-0.3729904761904762,1.0
1995-12-18,-0.4113,-0.37688095238095237,1.0
1995-12-19,-0.4113,-0.3807714285714286,1.0
1995-12-20,-0.4113,-0.38466190476190476,1.0
1995-12-21,-0.4113,-0.3885523809523809,1.0
1995-12-22,-0.3004,-0.38716190476190476,1.0
1995-12-25,-0.3004,-0.37947619047619047,1.0
1995-12-26,-0.3004,-0.37179047619047617,1.0
1995-12-27,-0.3004,-0.3641047619047619,1.0
1995-12-28,-0.3004,-0.35641904761904764,1.0
1995-12-29,-0.0614,-0.33735238095238096,1.0
1996-01-01,-0.0614,-0.32556666666666667,1.0
1996-01-02,-0.0614,-0.3137809523809524,1.0
1996-01-03,-0.0614,-0.3019952380952381,1.0
1996-01-04,-0.0614,-0.2902095238095238,1.0
1996-01-05,-0.4527,-0.29705714285714285,1.0
1996-01-08,-0.4527,-0.3003285714285714,1.0
1996-01-09,-0.4527,-0.30360000000000004,1.0
