,date,mfp,d10,d1,d10-d1
290,2019-03-31,qMO,0.01761484056852495,0.059981636260362556,-0.04236679569183761
291,2019-03-31,qQuality,0.03150474141953417,0.040681549168365964,-0.009176807748831797
292,2019-03-31,qSentiment,0.022964274836896902,0.03507540332570345,-0.012111128488806546
293,2019-03-31,qValue,0.023544989087771296,0.045071009031350986,-0.02152601994357969
294,2019-04-30,qGrowth,-0.06935597950885257,-0.07438714956474779,0.0050311700558952205
295,2019-04-30,qLV,-0.0117912091306355,-0.1116863425123668,0.0998951333817313
296,2019-04-30,qMO,-0.0327024559721239,-0.08507193153297901,0.05236947556085511
297,2019-04-30,qQuality,-0.07769527121038679,-0.05827866846848746,-0.019416602741899325
298,2019-04-30,qSentiment,-0.0545233461045146,-0.055775780664031244,0.001252434559516645
299,2019-04-30,qValue,-0.09618206836164084,-0.03839678804811638,-0.05778528031352446
300,2019-05-31,qGrowth,0.06662996326466877,0.07976313783437372,-0.013133174569704947
301,2019-05-31,qLV,0.03259413970910457,0.11441848123141608,-0.08182434152231152
302,2019-05-31,qMO,0.04146922689235853,0.09821269146630533,-0.0567434645739468
303,2019-05-31,qQuality,0.06177474159041081,0.07257878429984979,-0.01080404270943898
304,2019-05-31,qSentiment,0.051074307445826785,0.09320405539039159,-0.042129747944564803
305,2019-05-31,qValue,0.08553451374142348,0.07773623919645394,0.0077982745449695495
306,2019-06-30,qGrowth,0.0006509363947600613,0.0025134695221531236,-0.0018625331273930622
307,2019-06-30,qLV,-0.0087473975702241,0.013962241273995216,-0.022709638844219317
308,2019-06-30,qMO,0.020197384216855862,-0.00645828502952912,0.026655669246384982
309,2019-06-30,qQuality,0.003659471730867165,0.012738258228052177,-0.009078786497185012
310,2019-06-30,qSentiment,-0.0056429355638819975,-0.0018940238146236477,-0.0037489117492583495
311,2019-06-30,qValue,-0.021573698962298386,0.01686998720945964,-0.03844368617175803
312,2019-07-31,qGrowth,-0.014275225998055476,-0.034294492422013365,0.02001926642395789
313,2019-07-31,qLV,0.01784963682058066,-0.061198694465426716,0.07904833128600738
314,2019-07-31,qMO,0.01313519627367644,-0.06350337008821297,0.07663856636188941
315,2019-07-31,qQuality,-0.025492210462920703,-0.040050112271258105,0.014557901808337402
316,2019-07-31,qSentiment,-0.03732585093722267,-0.025974881042447866,-0.011350969894774802
317,2019-07-31,qValue,-0.06382343306629361,-0.010987860499555751,-0.052835572566737855
318,2019-08-31,qGrowth,0.007825782809833023,0.01827204578853131,-0.010446262978698287
319,2019-08-31,qLV,0.018764670284590185,0.013762699284084782,0.005001971000505404
320,2019-08-31,qMO,-0.024991605787618262,0.0517308827623602,-0.07672248854997846
321,2019-08-31,qQuality,0.010770756540919342,0.03577835910726962,-0.025007602566350276
322,2019-08-31,qSentiment,0.03281077649966198,-0.0022643327649475562,0.035075109264609536
323,2019-08-31,qValue,0.04308877389750439,-0.02801689909206753,0.07110567298957192
324,2019-09-30,qGrowth,0.019593286752488684,0.003917289924902622,0.01567599682758606
325,2019-09-30,qLV,-0.003793971345549626,0.03293633906526044,-0.03673031041081006
326,2019-09-30,qMO,0.02195785450126573,0.031070821200518385,-0.009112966699252656
327,2019-09-30,qQuality,0.02940605274565293,0.024444296667782594,0.004961756077870336
328,2019-09-30,qSentiment,0.014843461201695534,0.024536305160359855,-0.009692843958664321
329,2019-09-30,qValue,0.00923006246937185,0.018390216784156574,-0.009160154314784725
330,2019-10-31,qGrowth,0.053352387510801985,0.017573245642829607,0.035779141867972375
331,2019-10-31,qLV,-0.002341847631783939,0.05812958362699437,-0.06047143125877831
332,2019-10-31,qMO,0.01625893163773923,0.053037404548467906,-0.03677847291072868
333,2019-10-31,qQuality,0.0342829788123716,0.037775987365320826,-0.003493008552949227
334,2019-10-31,qSentiment,0.01725603266629679,0.05476891420161025,-0.03751288153531346
335,2019-10-31,qValue,0.019867603037593703,0.05649891890241709,-0.036631315864823384
336,2019-11-30,qGrowth,0.01861701486399571,0.04730916257320371,-0.028692147709208
337,2019-11-30,qLV,0.015623108836388335,0.07120525052729142,-0.05558214169090308
338,2019-11-30,qMO,0.0057095541710062755,0.04251546689227854,-0.03680591272127226
339,2019-11-30,qQuality,0.03769635226841032,0.027798033410423067,0.00989831885798725
340,2019-11-30,qSentiment,0.041612129834606534,0.014976807910896856,0.026635321923709678
341,2019-11-30,qValue,0.05180774872758155,0.0128347314902372,0.03897301723734435
342,2019-12-31,qGrowth,0.007692766576310495,-0.021076191397317843,0.02876895797362834
343,2019-12-31,qLV,0.009743755226060292,-0.011942703264241326,0.021686458490301617
344,2019-12-31,qMO,0.0038484158519928383,-0.01636845434669994,0.02021687019869278
345,2019-12-31,qQuality,-0.004905383005204938,-0.000600445040411827,-0.004304937964793111
346,2019-12-31,qSentiment,-0.02837701080419495,-0.010856366557407543,-0.01752064424678741
347,2019-12-31,qValue,-0.07419182527770152,0.050218594173414656,-0.12441041945111617
348,2020-01-31,qGrowth,-0.07355984722756045,-0.06780887242703527,-0.00575097480052518
349,2020-01-31,qLV,-0.08247557794579698,-0.060528623992228824,-0.021946953953568153
350,2020-01-31,qMO,-0.06942562956320054,-0.06588876496300754,-0.003536864600193007
351,2020-01-31,qQuality,-0.06550532213914967,-0.08186067725563445,0.016355355116484782
352,2020-01-31,qSentiment,-0.07327755395739703,-0.0687557971453259,-0.004521756812071134
353,2020-01-31,qValue,-0.09043115618487703,-0.04518178925758461,-0.045249366927292416
